 -110.0 0.45 1.3 0.0E+0 -12.107905896819322 0.45
 -80.0 -0.225 1.3 0.0E+0 -8.687851481036176 -0.225
 -70.0 -0.45 1.2 0.0E+0 -7.547833342441796 -0.45
 -60.0 -0.65 1.1 0.0E+0 -6.407815203847414 -0.65
 -50.0 -0.75 0.87091 0.0E+0 -5.267797065253032 -0.75
 -40.0 -0.8 0.64189 0.0E+0 -4.12777892665865 -0.8
 -30.0 -0.8 0.4128 1.2186239379659918E-3 -2.9877607880642687 -0.7973306894473843
 -20.0 -0.72333 0.1837 0.06317493222771477 -1.8477426494698871 -0.6475050724122257
 -14.0 -0.885 0.04627 0.5537075463792197 -1.163731766313258 -0.5391821821742002
 -12.0 -0.83833 0.01114 0.7975427399770382 -0.9357281385943818 -0.45464813887821836
 -10.0 -0.63404 0.01025 0.7974925325679852 -0.7077245108755054 -0.3438638008982674
 -6.0 -0.22553 8.61E-3 0.7976440092957568 -0.2517172554377527 -0.12230544338012447
 -4.0 -0.02131 8.08E-3 0.8026938746135205 -0.023713627718876344 -0.011531402183971314
 -2.0 0.18298 7.54E-3 0.7971192789316247 0.20429 0.09925291275099495
 0.0E+0 0.3872 7.23E-3 0.7971192789316247 0.4322936277188763 0.2100269309060296
 4.0 0.79571 7.91E-3 0.7972679621794742 0.888300883156629 0.43158528875907437
 6.0 0.993 9.19E-3 0.7855470557857733 1.1163045108755051 0.5413321721776003
 8.0 1.16683 0.01138 0.745298676241372 1.3443081385943815 0.6474992803782706
 10.0 1.33367 0.014 0.7089299213619216 1.572311766313258 0.7524344109015759
 12.0 1.443 0.0194 0.6249850177345396 1.8003153940321341 0.8475124103390649
 13.0 1.48133 0.03293 0.5765921682881431 1.9143172078915724 0.8916927416860568
 14.0 1.48133 0.04647 0.5029361092632596 2.0283190217510105 0.9278789536940214
 16.0 1.42086 0.08763 0.34468961382665475 2.2563226494698866 0.9814112989135003
 20.0 1.3 0.17 0.14793209121439868 2.7123299049076394 1.0547978111094535
 24.0 1.17914 0.282 0.048445938157945525 3.1683371603453922 1.07786512085388
 26.0 1.11867 0.338 0.021851981713968054 3.3963407880642684 1.0677864737025872
 30.0 1.1 0.45 4.722317639323578E-3 3.852348043502021 1.0869408689195574
 40.0 1.1 0.65 0.0E+0 4.9923661820964024 1.1
 50.0 1.0 0.85 0.0E+0 6.132384320690784 1.0
 60.0 0.83 1.025 0.0E+0 7.272402459285166 0.83
 70.0 0.5533 1.2 0.0E+0 8.412420597879548 0.5533
 80.0 0.2767 1.3 0.0E+0 9.55243873647393 0.2767
 90.0 0.0E+0 1.3 0.0E+0 10.692456875068311 0.0E+0
